x_array,y_array,mclust
-2914.394376,-601.3705537999999,2
-2908.221735,-509.3756994,11
-2904.319377,-494.8068423,11
-2902.348809,-540.4618874,9
-2893.200354,-482.89641270000004,11
-2891.748251,-573.9690905,9
-2892.715006,-550.2962414,9
-2880.58319,-554.5340403,9
-2877.228057,-636.9088318,2
-2877.016679,-519.8655114000001,11
-2873.885104,-588.5114947000001,2
-2843.206571,-612.7049285,2
-2836.993277,-524.4678107,2
-2836.6816710000003,-556.8401885,9
-2822.534396,-559.4334977000001,9
-2822.934234,-479.0399551,11
-2819.472307,-543.7240138,9
-2817.754525,-533.3533485,9
-2816.64078,-649.8772062,2
-2813.920186,-464.72893569999997,11
-2796.5992,-572.9192918,2
-2790.4448780000002,-615.0154031000001,2
-2788.444458,-581.2842423,2
-2785.5138269999998,-530.5546853999999,2
-2780.096193,-561.1207232999999,2
-2775.607274,-506.77128389999996,2
-2772.79567,-604.591605,2
-2766.544422,-472.4582325,11
-2750.186099,-472.9268164,2
-2753.141841,-535.7286503,2
-2751.423275,-514.4284964,2
-2748.791562,-585.3127952000001,2
-2749.2141070000002,-497.86615830000005,2
-2742.177618,-597.8343119,2
-2853.5256489999997,-608.9912607000001,2
-2848.5184059999997,-478.82902800000005,11
-2827.573682,-581.1963949,2
-2809.437409,-501.531178,2
-2787.423379,-472.1005933,2
-2772.442705,-527.8544572,2
-2907.83971,-468.6400795,11
-2807.731392,-634.7826552,2
-2823.605601,-602.6937824,2
-2822.1244269999997,-596.7148791000001,2
-2924.717395,-271.6517066,3
-2922.269229,-439.0762694,9
-2918.0879600000003,-363.13342489999997,9
-2908.317289,-350.31248250000004,9
-2908.62803,-405.24643910000003,11
-2908.759783,-338.37830099999996,9
-2901.834198,-427.67201969999996,9
-2902.381791,-327.888878,9
-2899.273192,-286.47614300000004,9
-2893.4051879999997,-270.5461087,3
-2890.633297,-364.1177403,9
-2889.821084,-303.52694460000004,9
-2883.752434,-289.8091653,9
-2886.690246,-402.79470180000004,9
-2880.425757,-380.42298700000003,11
-2879.7328190000003,-358.55080069999997,11
-2873.273877,-288.5512726,9
-2870.6533489999997,-442.5727721,11
-2868.727988,-370.9676608,11
-2868.932087,-296.6033578,9
-2866.647264,-416.18413300000003,2
-2853.924812,-323.9847099,11
-2845.5276870000002,-293.69774689999997,11
-2843.9724149999997,-409.73638819999996,11
-2840.2237760000003,-268.73747589999994,2
-2840.162058,-308.7967843,10
-2826.692517,-301.4799864,11
-2822.329406,-282.4718918,2
-2819.727625,-308.8662291,11
-2822.942031,-411.7327264,11
-2818.7091010000004,-352.4021143,1
-2807.0898899999997,-437.98199910000005,11
-2802.851881,-334.1524506,2
-2801.9997829999998,-321.1950193,11
-2789.2878149999997,-357.6425393,2
-2786.6502370000003,-393.43381339999996,2
-2776.41122,-380.79233250000004,2
-2775.937672,-364.2649512,11
-2767.252359,-324.4240652,3
-2764.884114,-273.324861,15
-2756.526698,-391.50490460000003,11
-2753.224907,-366.0725267,11
-2758.640474,-433.08388909999996,2
-2746.1450609999997,-326.7553392,3
-2913.9575579999996,-398.46971360000003,9
-2909.146809,-265.6549089,3
-2845.1017899999997,-319.9359309,11
-2840.750951,-423.04426409999996,11
-2814.4249059999997,-293.45802819999994,11
-2808.091789,-372.5131624,2
-2802.44452,-274.91722210000006,2
-2774.668738,-272.74320439999997,2
-2910.075356,-329.5024977,9
-2861.97201,-351.0377682,11
-2835.7522649999996,-356.3429395,1
-2808.032754,-428.6645831,11
-2791.277893,-280.5467374,2
-2772.539984,-335.41675180000004,2
-2753.078568,-407.0564425,2
-2814.714196,-433.83278089999993,11
-2787.758678,-305.59218799999996,2
-2908.772713,-285.3103417,9
-2742.74208,-280.5323012,2
-2920.617445,-218.08435330000003,10
-2911.600855,-160.5633874,2
-2911.430139,-78.55805436,2
-2907.919384,-141.8013725,2
-2903.061624,-187.8036368,11
-2892.674489,-247.86721380000003,3
-2892.031572,-128.9825777,2
-2884.915264,-200.92329109999997,11
-2885.233553,-70.59420026,2
-2881.753614,-224.12882180000003,3
-2876.8799489999997,-247.436869,3
-2876.77163,-152.8968471,2
-2875.381939,-172.1981299,2
-2865.012823,-218.6242424,3
-2865.0673260000003,-76.08506075,2
-2862.5559989999997,-92.68415121,2
-2849.78335,-206.7125739,3
-2836.8874079999996,-82.34979999,2
-2824.876217,-167.4074786,2
-2822.897643,-238.1025662,9
-2816.292542,-200.2188792,2
-2811.895649,-105.5166178,2
-2800.237143,-207.81750209999998,9
-2798.864718,-106.3823327,3
-2791.801641,-210.11162059999998,9
-2786.165356,-194.43334840000003,9
-2790.3299,-157.3624909,9
-2786.715243,-240.67505840000004,2
-2786.697125,-167.6844017,1
-2783.0341719999997,-106.077426,9
-2767.356135,-179.4719719,1
-2764.547072,-119.23315729999999,9
-2760.425095,-219.57277919999999,2
-2760.808074,-100.00608359999998,9
-2761.121028,-129.21982749999998,9
-2748.4396260000003,-153.98117240000002,9
-2749.878067,-82.98187711,9
-2740.073248,-127.1081883,9
-2740.549019,-213.31569869999998,2
-2741.746638,-100.16108220000001,9
-2919.4099170000004,-180.2559743,11
