"","coord_x","coord_y","labels"
"1",-2914.394376,-601.3705538,7
"2",-2908.221735,-509.3756994,7
"3",-2904.319377,-494.8068423,9
"4",-2902.348809,-540.4618874,9
"5",-2893.200354,-482.8964127,8
"6",-2891.748251,-573.9690905,15
"7",-2892.715006,-550.2962414,7
"8",-2880.58319,-554.5340403,9
"9",-2877.228057,-636.9088318,7
"10",-2877.016679,-519.8655114,10
"11",-2873.885104,-588.5114947,9
"12",-2843.206571,-612.7049285,7
"13",-2836.993277,-524.4678107,7
"14",-2836.681671,-556.8401885,9
"15",-2822.534396,-559.4334977,9
"16",-2822.934234,-479.0399551,9
"17",-2819.472307,-543.7240138,15
"18",-2817.754525,-533.3533485,6
"19",-2816.64078,-649.8772062,7
"20",-2813.920186,-464.7289357,7
"21",-2796.5992,-572.9192918,15
"22",-2790.444878,-615.0154031,7
"23",-2788.444458,-581.2842423,10
"24",-2785.513827,-530.5546854,9
"25",-2780.096193,-561.1207233,6
"26",-2775.607274,-506.7712839,7
"27",-2772.79567,-604.591605,7
"28",-2766.544422,-472.4582325,9
"29",-2750.186099,-472.9268164,10
"30",-2753.141841,-535.7286503,9
"31",-2751.423275,-514.4284964,9
"32",-2748.791562,-585.3127952,10
"33",-2749.214107,-497.8661583,12
"34",-2742.177618,-597.8343119,7
"35",-2853.525649,-608.9912607,7
"36",-2848.518406,-478.829028,7
"37",-2827.573682,-581.1963949,7
"38",-2809.437409,-501.531178,15
"39",-2787.423379,-472.1005933,8
"40",-2772.442705,-527.8544572,9
"41",-2907.83971,-468.6400795,2
"42",-2807.731392,-634.7826552,7
"43",-2823.605601,-602.6937824,2
"44",-2822.124427,-596.7148791,3
"45",-2924.717395,-271.6517066,15
"46",-2922.269229,-439.0762694,9
"47",-2918.08796,-363.1334249,9
"48",-2908.317289,-350.3124825,9
"49",-2908.62803,-405.2464391,9
"50",-2908.759783,-338.378301,9
"51",-2901.834198,-427.6720197,7
"52",-2902.381791,-327.888878,9
"53",-2899.273192,-286.476143,6
"54",-2893.405188,-270.5461087,15
"55",-2890.633297,-364.1177403,15
"56",-2889.821084,-303.5269446,9
"57",-2883.752434,-289.8091653,9
"58",-2886.690246,-402.7947018,12
"59",-2880.425757,-380.422987,8
"60",-2879.732819,-358.5508007,7
"61",-2873.273877,-288.5512726,2
"62",-2870.653349,-442.5727721,3
"63",-2868.727988,-370.9676608,7
"64",-2868.932087,-296.6033578,6
"65",-2866.647264,-416.184133,15
"66",-2853.924812,-323.9847099,10
"67",-2845.527687,-293.6977469,15
"68",-2843.972415,-409.7363882,8
"69",-2840.223776,-268.7374759,7
"70",-2840.162058,-308.7967843,8
"71",-2826.692517,-301.4799864,8
"72",-2822.329406,-282.4718918,6
"73",-2819.727625,-308.8662291,15
"74",-2822.942031,-411.7327264,7
"75",-2818.709101,-352.4021143,6
"76",-2807.08989,-437.9819991,9
"77",-2802.851881,-334.1524506,7
"78",-2801.999783,-321.1950193,7
"79",-2789.287815,-357.6425393,7
"80",-2786.650237,-393.4338134,9
"81",-2776.41122,-380.7923325,16
"82",-2775.937672,-364.2649512,7
"83",-2767.252359,-324.4240652,10
"84",-2764.884114,-273.324861,6
"85",-2756.526698,-391.5049046,15
"86",-2753.224907,-366.0725267,8
"87",-2758.640474,-433.0838891,7
"88",-2746.145061,-326.7553392,15
"89",-2913.957558,-398.4697136,8
"90",-2909.146809,-265.6549089,15
"91",-2845.10179,-319.9359309,16
"92",-2840.750951,-423.0442641,6
"93",-2814.424906,-293.4580282,9
"94",-2808.091789,-372.5131624,16
"95",-2802.44452,-274.9172221,7
"96",-2774.668738,-272.7432044,6
"97",-2910.075356,-329.5024977,9
"98",-2861.97201,-351.0377682,13
"99",-2835.752265,-356.3429395,8
"100",-2808.032754,-428.6645831,8
"101",-2791.277893,-280.5467374,7
"102",-2772.539984,-335.4167518,15
"103",-2753.078568,-407.0564425,6
"104",-2814.714196,-433.8327809,15
"105",-2787.758678,-305.592188,2
"106",-2908.772713,-285.3103417,6
"107",-2742.74208,-280.5323012,6
"108",-2920.617445,-218.0843533,7
"109",-2911.600855,-160.5633874,10
"110",-2911.430139,-78.55805436,6
"111",-2907.919384,-141.8013725,7
"112",-2903.061624,-187.8036368,8
"113",-2892.674489,-247.8672138,15
"114",-2892.031572,-128.9825777,6
"115",-2884.915264,-200.9232911,9
"116",-2885.233553,-70.59420026,15
"117",-2881.753614,-224.1288218,12
"118",-2876.879949,-247.436869,6
"119",-2876.77163,-152.8968471,6
"120",-2875.381939,-172.1981299,15
"121",-2865.012823,-218.6242424,12
"122",-2865.067326,-76.08506075,16
"123",-2862.555999,-92.68415121,15
"124",-2849.78335,-206.7125739,9
"125",-2836.887408,-82.34979999,7
"126",-2824.876217,-167.4074786,7
"127",-2822.897643,-238.1025662,16
"128",-2816.292542,-200.2188792,6
"129",-2811.895649,-105.5166178,7
"130",-2800.237143,-207.8175021,9
"131",-2798.864718,-106.3823327,15
"132",-2791.801641,-210.1116206,7
"133",-2786.165356,-194.4333484,6
"134",-2790.3299,-157.3624909,15
"135",-2786.715243,-240.6750584,15
"136",-2786.697125,-167.6844017,15
"137",-2783.034172,-106.077426,15
"138",-2767.356135,-179.4719719,15
"139",-2764.547072,-119.2331573,7
"140",-2760.425095,-219.5727792,6
"141",-2760.808074,-100.0060836,9
"142",-2761.121028,-129.2198275,7
"143",-2748.439626,-153.9811724,6
"144",-2749.878067,-82.98187711,6
"145",-2740.073248,-127.1081883,15
"146",-2740.549019,-213.3156987,2
"147",-2741.746638,-100.1610822,6
"148",-2919.409917,-180.2559743,15
"149",-2890.897803,-118.7147651,8
"150",-2890.39965,-143.1661967,6
"151",-2872.917955,-194.4384152,9
"152",-2860.766886,-140.5184316,6
"153",-2852.3404,-151.51905,6
"154",-2846.015699,-160.604803,10
"155",-2839.633232,-68.03960188,7
"156",-2919.385306,-116.2320644,16
"157",-2777.058316,-138.6985298,6
"158",-2772.029234,-103.9682573,15
"159",-2770.729798,-136.0143107,9
"160",-2906.771588,-74.6951623,15
"161",-2765.09068,-205.4216296,9
"162",-2886.478892,-228.8761859,15
"163",-2922.03696,69.96451795,6
"164",-2920.211536,-49.94030216,15
"165",-2919.250592,53.38197494,9
"166",-2913.866837,117.8772171,7
"167",-2912.022311,-13.52002842,6
"168",-2908.862968,102.948334,10
"169",-2908.07214,28.00508464,16
"170",-2903.118082,133.0393866,9
"171",-2900.194855,3.951144205,6
"172",-2894.339626,53.06680076,12
"173",-2892.961567,19.0931999,15
"174",-2875.798513,127.2154476,15
"175",-2876.308697,7.515830414,6
"176",-2866.375367,63.62345849,6
"177",-2870.922176,-34.84609162,15
"178",-2856.408681,79.62667271,2
"179",-2847.907687,69.71072669,3
"180",-2844.272815,98.9322832,6
"181",-2843.692842,-0.022376994,15
"182",-2837.208288,-24.10800719,6
"183",-2827.169038,29.85203791,16
"184",-2822.552615,76.42559345,6
"185",-2814.024947,94.98475919,6
"186",-2810.300964,-8.041784589,6
"187",-2806.113618,120.4653617,3
"188",-2791.678276,73.84398014,6
"189",-2788.973497,-3.069373813,15
"190",-2787.860358,-32.91735276,7
"191",-2776.320033,49.13141189,6
"192",-2775.0857,105.4871886,6
"193",-2771.073981,-27.75697314,6
"194",-2768.121701,52.62461104,3
"195",-2762.700961,87.13378547,6
"196",-2759.962076,126.1175731,6
"197",-2749.652456,137.2017373,8
"198",-2748.273897,7.645853624,6
"199",-2741.972187,-35.7744537,13
"200",-2740.101234,-16.32205563,9
"201",-2741.639107,-23.21570256,9
"202",-2891.234923,128.3775668,9
"203",-2858.026874,-26.24619554,6
"204",-2857.151437,13.21211148,6
"205",-2839.11337,72.27984908,15
"206",-2792.988116,117.0811496,6
"207",-2787.057378,30.0958402,6
"208",-2922.058624,92.85562509,6
"209",-2836.066576,56.81713779,3
"210",-2828.130394,119.8140544,6
"211",-2823.874169,14.08362491,6
"212",-2802.09071,2.918432529,15
"213",-2756.760863,58.91634133,3
"214",-2882.933401,80.673076,8
"215",-2908.97483,-39.6744265,6
"216",-2828.980202,82.37147493,8
"217",-2813.908808,-29.25208137,6
"218",-2797.101177,95.76220513,6
"219",-2763.522946,-40.902014,6
"220",-2916.704298,169.3486315,6
"221",-2907.522847,198.4740317,6
"222",-2905.412522,150.6538757,15
"223",-2903.339277,283.3354846,6
"224",-2901.081898,183.3888907,7
"225",-2888.472942,217.3773643,6
"226",-2880.980619,260.1840885,6
"227",-2880.09719,268.0260388,6
"228",-2878.475999,333.1943587,6
"229",-2872.531253,196.6071862,6
"230",-2861.885148,160.1601285,10
"231",-2861.864851,259.7791203,6
"232",-2854.542908,314.3295218,6
"233",-2848.366725,263.4726441,9
"234",-2846.101786,229.7399589,7
"235",-2842.004428,285.6744864,9
"236",-2836.238691,173.9790257,6
"237",-2833.557852,305.6619537,6
"238",-2835.421401,230.4416698,13
"239",-2831.343094,193.7931037,6
"240",-2825.984334,319.9686158,2
"241",-2824.598765,280.1903889,6
"242",-2822.24466,261.3884685,13
"243",-2821.055149,301.294809,3
"244",-2819.114688,182.084455,6
"245",-2816.570097,214.6634636,13
"246",-2815.803614,166.6173032,7
"247",-2809.406871,305.5189454,7
"248",-2799.855906,235.5509479,6
"249",-2797.748503,161.2024018,12
"250",-2795.802767,177.7862258,6
"251",-2785.588754,210.4618642,6
"252",-2783.842471,230.075104,7
"253",-2782.390418,294.0033496,3
"254",-2778.898839,260.3064032,10
"255",-2768.138765,310.0660714,7
"256",-2765.526842,189.1433305,6
"257",-2763.867518,299.8822413,7
"258",-2762.16252,217.1831449,2
"259",-2756.288432,250.311893,6
"260",-2755.022008,213.6179813,8
"261",-2741.794896,239.9497507,6
"262",-2739.486872,181.727671,7
"263",-2925.264065,259.6328883,6
"264",-2888.794689,330.074255,6
"265",-2854.422384,280.9930553,6
"266",-2791.668062,281.5470508,3
"267",-2755.88116,232.527056,9
"268",-2743.77498,309.1789518,2
"269",-2902.970666,243.2144382,6
"270",-2901.253274,252.3799614,6
"271",-2895.318406,183.7624182,6
"272",-2892.013878,293.9128806,6
"273",-2759.718725,273.2588001,8
"274",-2769.274652,169.1308253,6
"275",-2897.167404,319.8843101,6
"276",-2886.898983,239.5871549,9
"277",-2793.099854,209.3062509,6
"278",-2766.611766,199.0242596,6
"279",-2923.409082,530.5759569,2
"280",-2917.097384,411.6677016,2
"281",-2880.731125,467.2924225,9
"282",-2881.0477,372.3631776,2
"283",-2879.714709,496.3969478,2
"284",-2872.19038,420.8127502,2
"285",-2873.049945,530.1092296,2
"286",-2871.90341,382.0428666,2
"287",-2864.605639,459.3352177,2
"288",-2862.866125,484.3636821,9
"289",-2859.984305,432.1479392,2
"290",-2859.217067,414.8187206,2
"291",-2854.243014,399.905193,2
"292",-2849.983865,426.566887,2
"293",-2838.39462,389.3359257,2
"294",-2833.443267,478.4083089,2
"295",-2824.608192,413.4808507,9
"296",-2816.564499,424.0133799,2
"297",-2814.140101,355.8913429,2
"298",-2804.5767,523.7477498,2
"299",-2804.51606,446.7593546,2
"300",-2800.839411,477.0414954,2
"301",-2798.574759,350.3044495,9
"302",-2790.083251,479.7470636,2
"303",-2788.200054,372.849156,2
"304",-2788.821506,403.2072283,2
"305",-2787.889955,421.0910186,2
"306",-2779.454367,434.9619701,2
