Unnamed: 0,X,Y,mclust
1314x2162,1313.511887,2162.459959,1
1322x2289,1321.787911,2288.708578,1
1334x2116,1333.694106,2116.464893,1
1340x2200,1339.956433,2200.067589,1
1341x2251,1340.563484,2251.463695,13
1343x2208,1343.405047,2208.092067,1
1345x2177,1344.99383,2176.547045,1
1353x2119,1352.892055,2118.812648,9
1352x2218,1351.824798,2217.788537,1
1356x2125,1355.924703,2124.583619,1
1360x2220,1360.012164,2220.05056,1
1362x2238,1362.259078,2237.717412,1
1365x2290,1364.61037,2289.791365,1
1365x2274,1365.226986,2274.42685,1
1372x2131,1371.880381,2130.549639,1
1373x2216,1373.256999,2215.899767,1
1379x2250,1378.725252,2250.371336,1
1383x2224,1382.816146,2223.720805,1
1385x2138,1385.29024,2137.57621,1
1400x2232,1399.83812,2231.6481,1
1407x2146,1407.365958,2145.548961,1
1418x2148,1418.215447,2148.232338,1
1419x2241,1418.827324,2240.684957,1
1441x2239,1440.790206,2238.718713,1
1441x2192,1441.441026,2192.388149,1
1460x2274,1459.848152,2274.36341,1
1489x2274,1489.444413,2274.084242,6
1392x2192,1392.229234,2192.358007,1
1403x2262,1403.037383,2261.616823,1
1473x2163,1472.724931,2163.074195,1
1475x2238,1475.396954,2238.324965,9
1484x2296,1483.514898,2296.316947,6
1314x2145,1314.113873,2145.316686,5
1324x2260,1323.813852,2260.164264,1
1324x2191,1323.999034,2190.797592,1
1325x2184,1324.931855,2184.322659,5
1403x2206,1403.490996,2205.665778,1
1441x2220,1441.264708,2220.045807,1
1483x2234,1483.443283,2234.132836,9
1340x2114,1340.340613,2114.367569,1
1396x2282,1395.816159,2282.443659,1
1398x2142,1398.187304,2142.483169,1
1319x2156,1319.387537,2155.960684,5
1325x2138,1324.865309,2138.207089,5
1359x2128,1359.017079,2127.75029,9
1427x2162,1427.193467,2161.925709,1
1484x2175,1484.412933,2175.139891,1
1491x2183,1490.929221,2183.44498,1
1497x2286,1496.971312,2285.519452,1
1315x2346,1315.145685,2345.629669,1
1329x2444,1329.263738,2444.387748,1
1333x2423,1332.677933,2422.810927,13
1342x2428,1341.645074,2428.269872,1
1355x2315,1354.622828,2314.716955,1
1359x2452,1358.661497,2452.151796,1
1360x2470,1360.439123,2469.857921,1
1370x2481,1369.784993,2480.665545,13
1381x2432,1381.102247,2431.678995,1
1386x2490,1386.044826,2489.910822,13
1391x2360,1391.244556,2359.819904,1
1389x2431,1388.767093,2430.513725,13
1398x2461,1397.557356,2460.805088,1
1405x2397,1405.093262,2397.488602,13
1406x2450,1405.70575,2449.530626,1
1407x2327,1406.820064,2326.694964,1
1408x2480,1407.74403,2479.543015,1
1418x2405,1418.065699,2405.117721,5
1416x2488,1415.954887,2487.864184,13
1423x2453,1422.640592,2452.709508,1
1422x2495,1421.662476,2495.490354,1
1433x2328,1432.661553,2327.834766,1
1432x2414,1432.342496,2414.231853,5
1440x2353,1439.921663,2353.428562,1
1441x2427,1441.37762,2426.518923,13
1448x2404,1447.519194,2404.01688,5
1448x2416,1447.646989,2415.501996,5
1456x2432,1456.485277,2432.204168,6
1459x2422,1459.064805,2422.026645,1
1462x2361,1462.485013,2361.358082,6
1463x2334,1463.447476,2334.000009,1
1468x2377,1467.769743,2377.316637,1
1475x2402,1475.160842,2401.871418,6
1477x2459,1477.252882,2458.822711,1
1477x2321,1476.91592,2320.784273,1
1486x2451,1486.46104,2450.860934,1
1497x2425,1497.354382,2425.355223,10
1337x2399,1336.611436,2398.898614,1
1342x2336,1341.546105,2335.868759,1
1343x2376,1343.411632,2376.214044,1
1381x2387,1381.117483,2387.251652,1
1435x2361,1434.955951,2361.370016,6
1436x2481,1436.112541,2481.497347,1
1489x2334,1488.791114,2334.485324,4
1318x2419,1317.939735,2418.786849,1
1324x2353,1323.754675,2352.718595,1
1328x2369,1327.577925,2368.768976,1
1360x2392,1360.320894,2391.951535,1
1359x2432,1358.733426,2432.136227,1
1365x2332,1365.448908,2331.609999,10
1421x2326,1420.501224,2325.772198,1
1439x2407,1439.149495,2406.940393,1
1455x2459,1455.006749,2458.939274,1
1385x2408,1384.74883,2407.618635,10
1439x2491,1439.044075,2490.916909,1
1487x2437,1486.803933,2437.289515,1
1358x2368,1358.052356,2367.886311,1
1402x2378,1402.401095,2378.246224,1
1411x2424,1410.898633,2423.831422,1
1444x2385,1444.150325,2385.392186,5
1483x2479,1483.396101,2479.481377,1
1489x2379,1488.620914,2378.962262,1
1322x2620,1321.563111,2620.113217,10
1322x2649,1322.385617,2648.806847,1
1334x2634,1334.4607,2634.498726,1
1337x2573,1337.362287,2572.848905,1
1341x2631,1341.384494,2630.742993,1
1340x2663,1340.156209,2663.348998,1
1345x2607,1345.011864,2606.799334,13
1355x2663,1355.02271,2663.331259,1
1354x2579,1354.249164,2579.498409,1
1363x2690,1363.06397,2690.477182,1
1363x2620,1363.307106,2619.828987,1
1368x2544,1367.623722,2543.903818,13
1369x2558,1369.420626,2558.382857,1
1376x2544,1375.724117,2544.260826,13
1383x2695,1382.522259,2694.848531,13
1391x2678,1391.491675,2677.800417,1
1397x2534,1397.335708,2534.034394,1
1398x2690,1398.344267,2689.743353,1
1404x2610,1403.666794,2610.385327,1
1418x2548,1417.906047,2547.819761,1
1420x2674,1419.903883,2674.250739,1
1426x2648,1425.692159,2648.309335,1
1425x2585,1424.839027,2585.097484,1
1434x2568,1433.605446,2568.483126,1
1438x2618,1438.147722,2618.156366,13
1441x2680,1440.809461,2680.203122,1
1446x2564,1445.630089,2563.538985,6
1447x2657,1447.143245,2657.306579,1
1460x2646,1459.872392,2646.392145,4
1467x2693,1467.452004,2693.284277,1
1468x2550,1467.900253,2550.463816,13
1469x2671,1469.283796,2670.866045,1
1476x2661,1476.140721,2661.193204,1
1480x2568,1479.7882,2568.069119,13
1484x2600,1483.56566,2599.504899,1
1492x2552,1492.079694,2551.722978,1
1494x2679,1494.461,2678.646715,1
1404x2599,1403.840043,2599.158586,1
1425x2639,1424.665957,2638.522519,12
1430x2540,1430.280694,2540.1184,1
1449x2674,1449.490026,2674.324718,10
1457x2583,1456.993566,2583.006442,6
1313x2693,1312.625274,2693.460543,1
1361x2581,1361.165489,2580.99888,1
1459x2692,1459.147455,2691.542584,1
1322x2535,1322.37608,2535.004901,1
1372x2609,1372.244941,2608.829472,1
1457x2519,1457.136684,2519.25211,1
1490x2590,1490.458958,2589.512331,6
1337x2550,1336.536304,2549.511286,1
1369x2585,1368.855871,2584.564486,1
1370x2518,1369.861484,2518.16266,1
1374x2538,1373.699482,2537.805366,1
1375x2633,1375.225281,2632.892392,1
1453x2632,1453.379548,2632.154601,12
1335x2530,1334.697799,2529.820474,1
1319x2808,1318.748267,2807.927136,10
1328x2857,1328.332607,2857.301558,1
1331x2747,1331.447953,2747.206775,10
1331x2876,1331.2443,2876.339994,1
1333x2890,1333.259473,2890.115495,1
1334x2899,1334.238888,2899.301906,10
1339x2771,1338.836826,2771.257827,1
1345x2832,1344.680377,2831.747603,1
1351x2888,1350.506071,2887.543823,13
1358x2830,1357.629701,2830.03454,13
1359x2820,1359.013265,2820.084002,12
1356x2761,1356.321585,2761.011433,1
1361x2770,1360.787371,2769.895707,6
1358x2787,1357.533137,2787.248195,6
1359x2719,1358.522853,2719.055648,1
1363x2729,1362.757637,2729.164773,5
1368x2803,1367.543171,2802.602264,12
1372x2792,1372.494744,2792.070227,12
1372x2886,1371.663882,2885.998894,1
1387x2832,1387.315547,2831.954794,12
1404x2761,1404.033995,2761.14151,12
1403x2800,1403.243473,2800.051968,12
1417x2897,1417.037055,2897.373072,1
1420x2809,1420.463407,2809.139533,1
1424x2830,1424.224573,2830.442094,1
1426x2857,1425.994065,2857.213992,13
1429x2740,1428.511299,2740.271444,10
1432x2775,1431.863938,2774.779856,1
1449x2768,1448.730913,2768.46235,1
1447x2805,1446.603528,2805.253325,1
1459x2862,1458.60786,2861.518099,1
1459x2897,1459.174956,2896.520782,10
1470x2893,1469.644481,2892.788358,1
1473x2737,1472.803934,2737.03655,4
1473x2778,1472.58018,2778.371838,1
1471x2717,1471.44321,2717.098697,12
1482x2851,1481.765677,2850.874026,10
1485x2830,1484.902354,2830.310032,7
1486x2882,1486.367352,2881.841361,1
1492x2894,1491.80565,2893.572028,7
1496x2727,1495.713288,2726.782784,6
1496x2819,1495.585156,2819.068925,7
1319x2751,1318.736116,2750.569394,13
1339x2814,1338.97325,2813.50932,1
1379x2870,1378.884443,2869.589992,1
1408x2812,1408.45768,2812.135487,12
1431x2878,1430.914096,2878.05312,1
1452x2840,1452.160175,2839.987833,1
1474x2873,1473.814569,2873.215721,1
1311x2828,1311.022271,2827.800252,1
1332x2713,1331.620831,2712.710353,10
1341x2716,1340.915519,2716.375715,10
1386x2825,1386.356816,2824.979062,12
1393x2884,1392.610706,2884.298989,10
1477x2805,1476.856783,2805.23105,7
1461x2744,1460.524432,2744.370169,12
1380x2809,1380.24664,2808.621965,13
1387x2725,1387.258942,2725.425999,5
1406x2720,1405.804145,2719.779378,12
1431x2733,1430.819618,2732.910254,1
1434x2895,1434.354447,2894.714768,10
1440x2862,1439.90682,2862.248902,1
1446x2781,1445.90814,2781.21947,1
1318x3010,1318.070597,3009.648562,7
1319x2969,1318.716998,2969.0735,1
1320x3035,1320.340027,3035.383914,7
1325x3038,1325.438486,3038.333504,7
1334x3086,1333.75269,3086.364387,7
1344x2913,1343.719035,2912.614545,1
1350x3037,1350.034027,3037.36069,7
1358x2950,1357.723959,2949.669416,6
1361x3052,1361.446405,3051.90336,7
1365x3017,1365.207462,3017.334151,1
1377x2972,1377.418009,2971.615156,6
1379x2934,1379.427469,2934.140655,1
1382x3027,1381.894908,3027.415444,7
1388x3078,1387.609486,3077.698054,7
1389x3065,1389.229029,3065.170123,7
1401x2943,1400.85108,2942.858463,5
1402x2978,1401.71811,2977.614185,9
1404x3093,1403.984666,3092.518991,7
1413x3071,1413.388873,3070.743092,7
1416x3052,1416.190842,3052.162108,7
1417x3009,1417.220287,3009.01784,9
1423x2999,1423.179544,2998.819012,9
1433x3003,1433.309135,3002.845438,9
1439x3009,1439.194388,3009.010568,9
1439x3061,1438.669134,3060.568019,7
1439x2960,1439.485112,2959.639383,7
1437x3092,1437.22727,3091.806709,1
1447x3001,1446.610519,3001.265719,9
1450x3087,1449.82306,3086.677072,7
1453x2976,1453.268426,2975.503269,12
1455x2943,1454.778001,2942.597641,7
1459x3007,1459.336582,3006.898878,9
1457x3050,1457.321464,3050.089847,7
1464x2972,1463.733712,2971.902401,6
1465x2918,1464.671625,2918.374501,10
1463x3071,1462.636894,3071.46683,7
1464x3055,1464.494841,3055.174681,7
1469x3024,1468.519947,3024.286086,7
1471x3022,1471.347646,3021.652787,7
1480x2951,1480.143869,2951.053052,6
1479x3050,1479.4403,3050.051839,7
1486x3094,1485.57344,3093.934686,7
1489x2970,1489.081208,2969.667531,5
1326x2992,1326.30177,2991.773351,4
1341x3028,1341.030033,3027.657421,13
1386x2985,1386.407316,2984.680557,7
1478x3005,1478.419877,3004.981551,12
1495x3032,1495.28813,3031.9252,7
1342x2982,1342.035029,2981.870378,6
