Unnamed: 0,X,Y,mclust
-3749x-3749,-3749.176078,-3749.458442,11
-3746x-3742,-3746.22621,-3742.259347,11
-3743x-3791,-3742.897643,-3790.648737,11
-3738x-3773,-3738.423005,-3773.259265,11
-3736x-3896,-3736.40762,-3895.590306,15
-3725x-3899,-3725.210248,-3898.931369,15
-3720x-3785,-3720.191136,-3785.296426,11
-3717x-3761,-3717.144006,-3760.757175,11
-3716x-3805,-3716.115098,-3805.047855,11
-3715x-3897,-3715.05728,-3896.811185,15
-3713x-3847,-3713.366675,-3847.230697,11
-3712x-3717,-3712.215305,-3717.469078,11
-3712x-3904,-3711.799143,-3903.965417,15
-3706x-3899,-3705.89965,-3899.050255,15
-3703x-3905,-3702.522707,-3904.721471,15
-3701x-3749,-3701.031349,-3749.273361,11
-3703x-3867,-3703.310485,-3866.680235,11
-3694x-3754,-3693.834636,-3753.544428,11
-3687x-3868,-3686.861426,-3868.363094,11
-3682x-3797,-3681.886968,-3796.560642,11
-3678x-3901,-3677.896932,-3900.573745,15
-3680x-3763,-3679.811828,-3763.160389,11
-3677x-3869,-3677.398794,-3869.162152,11
-3671x-3817,-3670.779482,-3817.402626,11
-3668x-3874,-3667.87118,-3874.241564,11
-3665x-3738,-3664.769895,-3738.03905,11
-3651x-3871,-3651.46952,-3870.897426,11
-3647x-3724,-3646.877841,-3724.331608,11
-3645x-3868,-3645.493121,-3868.332643,11
-3647x-3775,-3646.789154,-3774.947785,11
-3646x-3759,-3646.400152,-3759.488325,11
-3635x-3818,-3634.578334,-3817.709332,11
-3631x-3721,-3630.554396,-3720.642493,11
-3624x-3777,-3623.800327,-3776.563602,1
-3614x-3862,-3613.921894,-3862.437691,11
-3609x-3743,-3609.424053,-3742.521483,11
-3605x-3728,-3604.913868,-3727.917944,11
-3603x-3772,-3602.690604,-3772.054668,1
-3600x-3789,-3600.249404,-3789.181339,1
-3599x-3762,-3599.20153,-3761.913671,1
-3595x-3835,-3594.86432,-3834.667865,11
-3589x-3857,-3589.12927,-3856.707569,11
-3584x-3817,-3583.882401,-3817.35014,11
-3584x-3808,-3584.248833,-3807.595108,11
-3580x-3851,-3580.472058,-3850.885976,11
-3579x-3786,-3578.616098,-3786.497364,11
-3578x-3736,-3577.673492,-3735.668748,1
-3578x-3754,-3578.349088,-3753.779418,11
-3573x-3873,-3573.299944,-3872.830391,11
-3567x-3896,-3567.244253,-3895.605984,11
-3566x-3718,-3565.972526,-3717.916126,11
-3564x-3826,-3563.997943,-3826.108826,2
-3566x-3801,-3566.140615,-3801.3436,11
-3742x-3830,-3741.931088,-3830.179569,11
-3656x-3875,-3655.621884,-3874.877987,11
-3647x-3790,-3647.281536,-3789.690968,11
-3638x-3736,-3637.803914,-3735.743305,11
-3617x-3749,-3616.921661,-3749.09486,11
-3571x-3842,-3571.06742,-3841.590735,11
-3750x-3889,-3750.349686,-3888.860397,15
-3730x-3865,-3729.616592,-3864.763194,15
-3723x-3782,-3722.657334,-3781.500929,11
-3612x-3778,-3612.404425,-3778.444847,11
-3659x-3850,-3659.193431,-3850.047337,11
-3649x-3717,-3648.682348,-3717.118489,11
-3623x-3805,-3622.867123,-3804.581936,1
-3571x-3743,-3570.645976,-3742.960286,1
-3735x-3889,-3735.388149,-3888.518667,15
-3696x-3868,-3695.502249,-3867.643002,11
-3594x-3885,-3593.980541,-3884.880012,11
