"","coord_x","coord_y","labels"
"1",-3749.176078,-3749.458442,3
"2",-3746.22621,-3742.259347,2
"3",-3742.897643,-3790.648737,2
"4",-3738.423005,-3773.259265,9
"5",-3736.40762,-3895.590306,7
"6",-3725.210248,-3898.931369,7
"7",-3720.191136,-3785.296426,7
"8",-3717.144006,-3760.757175,9
"9",-3716.115098,-3805.047855,3
"10",-3715.05728,-3896.811185,7
"11",-3713.366675,-3847.230697,1
"12",-3712.215305,-3717.469078,3
"13",-3711.799143,-3903.965417,7
"14",-3705.89965,-3899.050255,7
"15",-3702.522707,-3904.721471,7
"16",-3701.031349,-3749.273361,3
"17",-3703.310485,-3866.680235,3
"18",-3693.834636,-3753.544428,3
"19",-3686.861426,-3868.363094,3
"20",-3681.886968,-3796.560642,9
"21",-3677.896932,-3900.573745,7
"22",-3679.811828,-3763.160389,13
"23",-3677.398794,-3869.162152,3
"24",-3670.779482,-3817.402626,3
"25",-3667.87118,-3874.241564,3
"26",-3664.769895,-3738.03905,9
"27",-3651.46952,-3870.897426,3
"28",-3646.877841,-3724.331608,9
"29",-3645.493121,-3868.332643,3
"30",-3646.789154,-3774.947785,1
"31",-3646.400152,-3759.488325,3
"32",-3634.578334,-3817.709332,3
"33",-3630.554396,-3720.642493,9
"34",-3623.800327,-3776.563602,9
"35",-3613.921894,-3862.437691,3
"36",-3609.424053,-3742.521483,7
"37",-3604.913868,-3727.917944,9
"38",-3602.690604,-3772.054668,2
"39",-3600.249404,-3789.181339,9
"40",-3599.20153,-3761.913671,3
"41",-3594.86432,-3834.667865,2
"42",-3589.12927,-3856.707569,2
"43",-3583.882401,-3817.35014,9
"44",-3584.248833,-3807.595108,1
"45",-3580.472058,-3850.885976,9
"46",-3578.616098,-3786.497364,2
"47",-3577.673492,-3735.668748,7
"48",-3578.349088,-3753.779418,2
"49",-3573.299944,-3872.830391,2
"50",-3567.244253,-3895.605984,3
"51",-3565.972526,-3717.916126,3
"52",-3563.997943,-3826.108826,4
"53",-3566.140615,-3801.3436,9
"54",-3741.931088,-3830.179569,3
"55",-3655.621884,-3874.877987,3
"56",-3647.281536,-3789.690968,9
"57",-3637.803914,-3735.743305,11
"58",-3616.921661,-3749.09486,2
"59",-3571.06742,-3841.590735,9
"60",-3750.349686,-3888.860397,7
"61",-3729.616592,-3864.763194,3
"62",-3722.657334,-3781.500929,7
"63",-3612.404425,-3778.444847,2
"64",-3659.193431,-3850.047337,4
"65",-3648.682348,-3717.118489,11
"66",-3622.867123,-3804.581936,9
"67",-3570.645976,-3742.960286,9
"68",-3735.388149,-3888.518667,7
"69",-3695.502249,-3867.643002,3
"70",-3593.980541,-3884.880012,3
"71",-3583.805783,-3771.677373,2
"72",-3585.982836,-3876.191596,2
"73",-3736.666752,-3593.052579,7
"74",-3734.556828,-3649.974451,2
"75",-3730.405144,-3631.316136,9
"76",-3729.411991,-3666.569732,9
"77",-3715.476438,-3536.021121,9
"78",-3708.946443,-3599.167488,9
"79",-3699.463891,-3675.720197,3
"80",-3689.130527,-3553.698604,3
"81",-3685.927407,-3602.577032,11
"82",-3674.489912,-3523.022189,9
"83",-3660.394604,-3530.168312,3
"84",-3658.226648,-3658.376328,9
"85",-3658.331528,-3679.854886,9
"86",-3659.154672,-3695.830686,9
"87",-3647.038271,-3561.987478,9
"88",-3643.259955,-3519.757328,13
"89",-3636.963109,-3627.838951,9
"90",-3635.802679,-3694.431642,7
"91",-3632.128578,-3652.62671,1
"92",-3629.994213,-3569.240588,9
"93",-3624.772304,-3671.136281,9
"94",-3616.921978,-3618.300878,1
"95",-3612.23088,-3557.737368,2
"96",-3605.899181,-3609.638435,3
"97",-3602.448126,-3677.809322,3
"98",-3591.563938,-3579.677275,3
"99",-3592.589876,-3671.089202,11
"100",-3587.493077,-3589.250821,3
"101",-3578.211502,-3659.373498,11
"102",-3560.329056,-3642.520511,3
"103",-3717.051308,-3686.552475,11
"104",-3716.926342,-3634.479201,3
"105",-3707.839564,-3560.858923,2
"106",-3696.652092,-3655.708128,2
"107",-3690.646433,-3525.535885,2
"108",-3681.931053,-3624.058022,9
"109",-3669.956466,-3677.919117,11
"110",-3660.951606,-3581.801343,9
"111",-3618.114079,-3549.314853,2
"112",-3582.44828,-3535.820558,9
"113",-3572.858999,-3615.715063,9
"114",-3563.852437,-3523.854164,7
"115",-3740.275836,-3597.798321,2
"116",-3727.480462,-3637.039856,2
"117",-3689.775748,-3613.940738,3
"118",-3625.10343,-3589.395292,9
"119",-3682.465793,-3577.216616,2
"120",-3597.747816,-3699.535522,3
"121",-3683.99275,-3635.914933,9
"122",-3628.235084,-3609.468317,9
"123",-3625.774566,-3619.275429,11
"124",-3610.651181,-3676.52504,11
"125",-3606.129535,-3598.500508,9
"126",-3567.56003,-3560.805608,11
"127",-3749.936046,-3475.840805,11
"128",-3740.80826,-3367.270535,2
"129",-3724.689023,-3377.336245,2
"130",-3725.615583,-3468.405271,2
"131",-3716.680832,-3433.500029,9
"132",-3708.880906,-3477.06647,2
"133",-3709.433049,-3496.154228,4
"134",-3705.583102,-3481.14878,2
"135",-3706.069992,-3461.367232,9
"136",-3701.255287,-3376.401318,9
"137",-3702.058033,-3341.504263,4
"138",-3699.526693,-3436.465816,9
"139",-3685.145552,-3374.603356,7
"140",-3679.418843,-3466.590055,9
"141",-3674.219407,-3411.098779,9
"142",-3673.046097,-3345.479732,7
"143",-3667.473317,-3337.280199,7
"144",-3653.029003,-3491.353031,9
"145",-3653.14311,-3431.500765,7
"146",-3650.943962,-3403.327708,13
"147",-3641.182287,-3360.93981,7
"148",-3639.38052,-3452.300195,11
"149",-3638.593324,-3486.342406,2
"150",-3636.785388,-3371.829671,2
"151",-3635.713538,-3402.907307,2
"152",-3634.354642,-3381.219703,2
"153",-3635.374696,-3331.451747,9
"154",-3627.433135,-3427.474931,9
"155",-3620.711966,-3322.969737,9
"156",-3619.536728,-3425.289278,7
"157",-3619.70656,-3481.291397,2
"158",-3613.883589,-3410.439425,3
"159",-3606.398306,-3351.909837,2
"160",-3603.993755,-3341.20161,9
"161",-3601.108236,-3397.637977,3
"162",-3592.329415,-3408.501667,11
"163",-3590.119867,-3493.917991,4
"164",-3587.319289,-3415.108575,11
"165",-3587.031149,-3468.563538,9
"166",-3585.920932,-3316.862105,2
"167",-3575.345742,-3336.566479,11
"168",-3569.666055,-3418.537837,2
"169",-3567.207016,-3446.839051,4
"170",-3563.52452,-3373.711565,11
"171",-3682.590687,-3396.130269,3
"172",-3560.924558,-3448.752322,2
"173",-3734.595816,-3495.168554,9
"174",-3711.975816,-3493.432676,4
"175",-3706.047524,-3446.236807,11
"176",-3690.943117,-3352.615643,1
"177",-3655.294441,-3397.263078,2
"178",-3645.262481,-3402.412564,2
"179",-3628.249009,-3409.136724,2
"180",-3623.688275,-3405.793578,2
"181",-3587.233076,-3394.546323,9
"182",-3689.191489,-3481.694044,9
"183",-3687.790401,-3492.657265,4
"184",-3645.691534,-3449.593082,3
"185",-3637.675619,-3441.098058,9
"186",-3617.755264,-3455.122268,9
"187",-3597.727155,-3408.064914,3
"188",-3746.4768,-3181.019937,9
"189",-3746.860037,-3283.226092,2
"190",-3742.840248,-3262.710735,2
"191",-3724.846225,-3269.978255,2
"192",-3717.133927,-3218.946952,3
"193",-3714.919203,-3180.438378,2
"194",-3714.922183,-3242.542985,7
"195",-3713.126176,-3196.269032,9
"196",-3711.486419,-3213.778142,3
"197",-3697.203359,-3265.525187,9
"198",-3696.172889,-3195.71352,7
"199",-3685.497297,-3157.450706,9
"200",-3685.761869,-3177.018046,2
"201",-3684.906153,-3125.502947,2
"202",-3679.573648,-3274.984502,9
"203",-3680.392625,-3214.53178,2
"204",-3672.291459,-3126.499023,11
"205",-3673.29933,-3248.800724,3
"206",-3666.289226,-3176.714474,3
"207",-3664.521055,-3213.408669,9
"208",-3662.947844,-3167.303187,7
"209",-3661.350752,-3150.607476,2
"210",-3648.374379,-3248.07045,11
"211",-3650.519178,-3128.055624,11
"212",-3641.625579,-3164.555696,3
"213",-3637.872791,-3252.381824,11
"214",-3634.304262,-3258.564577,7
"215",-3632.673365,-3153.010677,2
"216",-3631.634903,-3295.044084,2
"217",-3624.430284,-3269.12285,2
