Unnamed: 0,X,Y,mclust
-3033x2825,-3033.401378,2825.155877,3
-3027x2956,-3027.328655,2955.936449,12
-3021x2962,-3020.512953,2961.69671,12
-3017x2996,-3017.39749,2995.915801,13
-3005x2878,-3005.478613,2877.528929,3
-3005x2898,-3005.369837,2898.384629,3
-3002x2965,-3001.59398,2965.246678,12
-2997x3005,-2997.368589,3005.247841,13
-2967x2894,-2967.167501,2893.509822,12
-2963x2927,-2963.181131,2927.496482,12
-2955x2874,-2954.604508,2873.521193,12
-2953x2982,-2952.704249,2982.099518,12
-2949x2836,-2948.588648,2835.768383,10
-2948x2959,-2948.194435,2958.610211,12
-2943x2897,-2942.627079,2897.049788,12
-2941x3006,-2940.860859,3005.644272,12
-2932x2961,-2931.942849,2961.365834,6
-2922x2956,-2921.95643,2956.178779,6
-2915x2823,-2915.35803,2822.560962,12
-2910x2980,-2910.433757,2980.22121,6
-2907x2825,-2907.439113,2825.46278,12
-2903x2931,-2903.023982,2930.989681,6
-2898x2823,-2898.297725,2822.887076,12
-2898x2876,-2897.57708,2875.669847,10
-2898x2865,-2897.59408,2865.04798,11
-2883x2959,-2883.190059,2958.59815,6
-2874x2836,-2874.011299,2836.289009,6
-2870x2948,-2869.656103,2948.229483,10
-2868x2875,-2868.024391,2874.880139,11
-2859x2960,-2858.828365,2960.356747,12
-2856x2828,-2856.201415,2827.69063,6
-3026x2870,-3025.728593,2869.580376,13
-3012x2884,-3011.709752,2883.921038,2
-2958x3006,-2957.612189,3005.603102,12
-2956x2952,-2955.783772,2951.577727,12
-2923x2947,-2923.05209,2946.776472,6
-2923x2845,-2923.353082,2844.720966,12
-2896x2907,-2896.385814,2907.262859,12
-2866x2826,-2866.094653,2825.983557,6
-2867x2900,-2867.467494,2900.166024,12
-2943x2904,-2942.638647,2904.359276,12
-2891x2844,-2891.24141,2843.552431,10
-2954x2966,-2953.925858,2965.755479,12
-2877x2944,-2877.153651,2943.845568,12
-2858x2987,-2857.851113,2986.599484,13
-2982x2840,-2981.622557,2839.584483,13
-2938x2941,-2937.548946,2940.608981,6
-2911x2949,-2911.07609,2949.348447,6
-2853x2855,-2853.006718,2855.166397,6
-3031x3179,-3030.855058,3179.208497,12
-3024x3059,-3023.807366,3059.186242,2
-3020x3074,-3019.991104,3073.955921,12
-3017x3191,-3016.675176,3191.422789,12
-3017x3021,-3016.56107,3020.754709,2
