Unnamed: 0,X,Y,mclust
-2914x-601,-2914.394376,-601.3705538,7
-2908x-509,-2908.221735,-509.3756994,7
-2904x-495,-2904.319377,-494.8068423,13
-2902x-540,-2902.348809,-540.4618874,13
-2893x-483,-2893.200354,-482.8964127,2
-2892x-574,-2891.748251,-573.9690905,7
-2893x-550,-2892.715006,-550.2962414,7
-2881x-555,-2880.58319,-554.5340403,7
-2877x-637,-2877.228057,-636.9088318,7
-2877x-520,-2877.016679,-519.8655114,7
-2874x-589,-2873.885104,-588.5114947,13
-2843x-613,-2843.206571,-612.7049285,7
-2837x-524,-2836.993277,-524.4678107,7
-2837x-557,-2836.681671,-556.8401885,13
-2823x-559,-2822.534396,-559.4334977,13
-2823x-479,-2822.934234,-479.0399551,13
-2819x-544,-2819.472307,-543.7240138,7
-2818x-533,-2817.754525,-533.3533485,7
-2817x-650,-2816.64078,-649.8772062,7
-2814x-465,-2813.920186,-464.7289357,7
-2797x-573,-2796.5992,-572.9192918,7
-2790x-615,-2790.444878,-615.0154031,7
-2788x-581,-2788.444458,-581.2842423,7
-2786x-531,-2785.513827,-530.5546854,7
-2780x-561,-2780.096193,-561.1207233,7
-2776x-507,-2775.607274,-506.7712839,7
-2773x-605,-2772.79567,-604.591605,7
-2767x-472,-2766.544422,-472.4582325,13
-2750x-473,-2750.186099,-472.9268164,7
-2753x-536,-2753.141841,-535.7286503,13
-2751x-514,-2751.423275,-514.4284964,13
-2749x-585,-2748.791562,-585.3127952,7
-2749x-498,-2749.214107,-497.8661583,7
-2742x-598,-2742.177618,-597.8343119,7
-2854x-609,-2853.525649,-608.9912607,7
-2849x-479,-2848.518406,-478.829028,7
-2828x-581,-2827.573682,-581.1963949,7
-2809x-502,-2809.437409,-501.531178,7
-2787x-472,-2787.423379,-472.1005933,2
-2772x-528,-2772.442705,-527.8544572,7
-2908x-469,-2907.83971,-468.6400795,7
-2808x-635,-2807.731392,-634.7826552,7
-2824x-603,-2823.605601,-602.6937824,7
-2822x-597,-2822.124427,-596.7148791,7
-2925x-272,-2924.717395,-271.6517066,7
-2922x-439,-2922.269229,-439.0762694,13
-2918x-363,-2918.08796,-363.1334249,7
-2908x-350,-2908.317289,-350.3124825,13
-2909x-405,-2908.62803,-405.2464391,13
-2909x-338,-2908.759783,-338.378301,13
-2902x-428,-2901.834198,-427.6720197,7
-2902x-328,-2902.381791,-327.888878,13
-2899x-286,-2899.273192,-286.476143,7
-2893x-271,-2893.405188,-270.5461087,1
-2891x-364,-2890.633297,-364.1177403,7
-2890x-304,-2889.821084,-303.5269446,13
-2884x-290,-2883.752434,-289.8091653,13
-2887x-403,-2886.690246,-402.7947018,1
-2880x-380,-2880.425757,-380.422987,2
-2880x-359,-2879.732819,-358.5508007,7
-2873x-289,-2873.273877,-288.5512726,7
-2871x-443,-2870.653349,-442.5727721,1
