x_array,y_array,mclust
-3749.176078,-3749.458442,4
-3746.2262100000003,-3742.2593469999997,4
-3742.897643,-3790.6487369999995,4
-3738.4230049999996,-3773.2592649999997,4
-3736.4076200000004,-3895.590306,13
-3725.210248,-3898.931369,13
-3720.191136,-3785.296426,4
-3717.1440060000004,-3760.757175,4
-3716.1150979999998,-3805.047855,4
-3715.0572799999995,-3896.811185,13
-3713.366675,-3847.230697,4
-3712.2153049999997,-3717.469078,4
-3711.799143,-3903.9654170000003,13
-3705.89965,-3899.0502549999997,13
-3702.522707,-3904.7214710000003,13
-3701.0313490000003,-3749.273361,4
-3703.310485,-3866.6802350000003,4
-3693.834636,-3753.544428,4
-3686.861426,-3868.363094,4
-3681.886968,-3796.5606420000004,4
-3677.896932,-3900.573745,13
-3679.8118280000003,-3763.160389,4
-3677.3987939999997,-3869.1621520000003,4
-3670.779482,-3817.4026259999996,4
-3667.8711799999996,-3874.241564,4
-3664.7698950000004,-3738.03905,5
-3651.46952,-3870.897426,4
-3646.8778409999995,-3724.331608,5
-3645.493121,-3868.332643,4
-3646.789154,-3774.9477850000003,5
-3646.400152,-3759.488325,5
-3634.5783340000003,-3817.709332,4
-3630.554396,-3720.642493,5
-3623.8003270000004,-3776.563602,5
-3613.9218939999996,-3862.4376909999996,4
-3609.424053,-3742.521483,4
-3604.913868,-3727.917944,5
-3602.690604,-3772.0546679999998,5
-3600.2494039999997,-3789.181339,5
-3599.20153,-3761.9136710000002,5
-3594.86432,-3834.667865,5
-3589.1292700000004,-3856.7075689999997,5
-3583.882401,-3817.35014,5
-3584.2488329999996,-3807.595108,8
-3580.472058,-3850.8859759999996,5
-3578.6160979999995,-3786.497364,5
-3577.6734920000004,-3735.6687479999996,5
-3578.3490880000004,-3753.779418,5
-3573.299944,-3872.8303909999995,5
-3567.2442530000003,-3895.6059840000003,4
-3565.972526,-3717.9161259999996,5
-3563.997943,-3826.1088259999997,8
-3566.140615,-3801.3436,5
-3741.9310880000003,-3830.179569,4
-3655.621884,-3874.877987,4
-3647.281536,-3789.690968,5
-3637.803914,-3735.7433049999995,5
-3616.921661,-3749.09486,5
-3571.0674200000003,-3841.590735,5
-3750.349686,-3888.860397,13
-3729.6165920000003,-3864.7631939999997,10
-3722.6573340000004,-3781.500929,4
-3612.404425,-3778.4448469999998,5
-3659.193431,-3850.0473369999995,4
-3648.682348,-3717.118489,5
-3622.8671229999995,-3804.581936,5
-3570.645976,-3742.960286,5
-3735.3881490000003,-3888.5186670000003,13
-3695.502249,-3867.6430020000003,4
-3593.9805409999994,-3884.8800119999996,4
-3583.805783,-3771.6773729999995,5
-3585.982836,-3876.191596,5
-3736.6667520000005,-3593.0525789999997,4
-3734.556828,-3649.9744509999996,5
-3730.405144,-3631.316136,5
-3729.4119909999995,-3666.569732,5
-3715.476438,-3536.021121,5
-3708.946443,-3599.167488,5
-3699.4638909999994,-3675.720197,5
-3689.1305270000003,-3553.6986039999997,5
-3685.927407,-3602.577032,2
-3674.4899119999995,-3523.0221890000003,5
-3660.394604,-3530.168312,5
-3658.226648,-3658.3763280000003,5
-3658.331528,-3679.854886,5
-3659.1546719999997,-3695.830686,5
-3647.038271,-3561.987478,5
-3643.2599549999995,-3519.757328,5
-3636.9631090000003,-3627.8389509999997,5
-3635.802679,-3694.431642,5
-3632.1285780000003,-3652.62671,5
-3629.9942130000004,-3569.240588,5
-3624.772304,-3671.136281,5
-3616.9219780000003,-3618.300878,5
-3612.2308799999996,-3557.737368,5
-3605.899181,-3609.6384350000003,4
-3602.448126,-3677.809322,5
-3591.5639380000002,-3579.677275,5
-3592.589876,-3671.089202,5
-3587.4930770000005,-3589.250821,4
-3578.211502,-3659.3734979999995,5
-3560.329056,-3642.5205109999997,5
-3717.0513079999996,-3686.552475,5
-3716.926342,-3634.4792009999996,4
-3707.839564,-3560.858923,5
-3696.6520920000003,-3655.708128,5
-3690.646433,-3525.5358850000002,5
-3681.9310530000002,-3624.0580219999997,2
-3669.9564659999996,-3677.9191170000004,5
-3660.951606,-3581.801343,5
-3618.114079,-3549.3148530000003,5
-3582.4482799999996,-3535.820558,8
-3572.858999,-3615.715063,5
-3563.8524369999996,-3523.854164,9
-3740.275836,-3597.798321,5
-3727.4804619999995,-3637.0398560000003,4
-3689.7757479999996,-3613.9407380000002,2
-3625.1034299999997,-3589.395292,5
-3682.465793,-3577.2166159999997,5
-3597.7478159999996,-3699.5355219999997,5
-3683.99275,-3635.914933,5
-3628.2350840000004,-3609.4683170000003,5
-3625.7745659999996,-3619.275429,5
