x_array,y_array,mclust
-3033.401378,2825.155877,9
-3027.3286550000003,2955.936449,6
-3020.512953,2961.69671,6
-3017.39749,2995.915801,6
-3005.4786129999998,2877.528929,7
-3005.369837,2898.384629,7
-3001.59398,2965.246678,6
-2997.368589,3005.247841,6
-2967.1675010000004,2893.509822,7
-2963.181131,2927.496482,6
-2954.604508,2873.521193,7
-2952.704249,2982.099518,6
-2948.588648,2835.7683829999996,7
-2948.1944350000003,2958.610211,9
-2942.627079,2897.049788,6
-2940.860859,3005.644272,6
-2931.942849,2961.365834,9
-2921.95643,2956.178779,9
-2915.35803,2822.560962,7
-2910.4337570000002,2980.22121,7
-2907.439113,2825.4627800000003,7
-2903.023982,2930.989681,9
-2898.297725,2822.887076,7
-2897.57708,2875.6698469999997,9
-2897.59408,2865.0479800000003,7
-2883.190059,2958.59815,9
-2874.011299,2836.289009,7
-2869.6561030000003,2948.2294829999996,7
-2868.024391,2874.880139,5
-2858.828365,2960.356747,7
-2856.201415,2827.69063,7
-3025.728593,2869.5803760000003,7
-3011.7097519999998,2883.921038,7
-2957.612189,3005.603102,6
-2955.7837719999998,2951.577727,6
-2923.0520899999997,2946.776472,9
-2923.353082,2844.720966,7
-2896.385814,2907.262859,6
-2866.094653,2825.983557,7
-2867.467494,2900.1660239999997,5
-2942.6386469999998,2904.359276,6
-2891.24141,2843.552431,7
-2953.9258579999996,2965.755479,6
-2877.153651,2943.845568,7
-2857.8511129999997,2986.599484,9
-2981.622557,2839.5844829999996,7
-2937.548946,2940.608981,9
-2911.07609,2949.348447,9
-2853.006718,2855.166397,7
-3030.8550579999996,3179.208497,9
-3023.807366,3059.186242,6
-3019.9911039999997,3073.955921,6
-3016.675176,3191.422789,7
-3016.5610699999997,3020.754709,7
-3010.2775739999997,3164.341178,5
-3011.8966960000002,3082.458122,6
-3004.611572,3135.3877390000002,6
-2998.349842,3139.677925,6
-2996.077776,3187.120454,9
-2990.6116629999997,3049.466895,6
-2992.0057269999998,3197.472061,7
-2991.372021,3117.398303,6
-2976.3844280000003,3055.728948,6
-2971.9541010000003,3163.589689,6
-2960.675485,3122.951742,6
-2961.157655,3051.754983,6
-2958.467377,3081.736708,9
