"","x","y","c","z"
"1",-3033.401378,2825.155877,13,4
"2",-3027.328655,2955.936449,5,4
"3",-3020.512953,2961.69671,5,4
"4",-3017.39749,2995.915801,5,4
"5",-3005.478613,2877.528929,10,4
"6",-3005.369837,2898.384629,10,4
"7",-3001.59398,2965.246678,5,4
"8",-2997.368589,3005.247841,2,4
"9",-2967.167501,2893.509822,5,4
"10",-2963.181131,2927.496482,5,4
"11",-2954.604508,2873.521193,5,4
"12",-2952.704249,2982.099518,2,4
"13",-2948.588648,2835.768383,6,4
"14",-2948.194435,2958.610211,5,4
"15",-2942.627079,2897.049788,11,4
"16",-2940.860859,3005.644272,5,4
"17",-2931.942849,2961.365834,3,4
"18",-2921.95643,2956.178779,13,4
"19",-2915.35803,2822.560962,2,4
"20",-2910.433757,2980.22121,2,4
"21",-2907.439113,2825.46278,2,4
"22",-2903.023982,2930.989681,5,4
"23",-2898.297725,2822.887076,5,4
"24",-2897.57708,2875.669847,6,4
"25",-2897.59408,2865.04798,2,4
"26",-2883.190059,2958.59815,2,4
"27",-2874.011299,2836.289009,2,4
"28",-2869.656103,2948.229483,6,4
"29",-2868.024391,2874.880139,5,4
"30",-2858.828365,2960.356747,13,4
"31",-2856.201415,2827.69063,13,4
"32",-3025.728593,2869.580376,5,4
"33",-3011.709752,2883.921038,5,4
"34",-2957.612189,3005.603102,12,4
"35",-2955.783772,2951.577727,5,4
"36",-2923.05209,2946.776472,13,4
"37",-2923.353082,2844.720966,2,4
"38",-2896.385814,2907.262859,5,4
"39",-2866.094653,2825.983557,13,4
"40",-2867.467494,2900.166024,2,4
"41",-2942.638647,2904.359276,2,4
"42",-2891.24141,2843.552431,6,4
"43",-2953.925858,2965.755479,5,4
"44",-2877.153651,2943.845568,5,4
"45",-2857.851113,2986.599484,2,4
"46",-2981.622557,2839.584483,11,4
"47",-2937.548946,2940.608981,5,4
"48",-2911.07609,2949.348447,13,4
"49",-2853.006718,2855.166397,6,4
"50",-3030.855058,3179.208497,7,4
"51",-3023.807366,3059.186242,2,4
"52",-3019.991104,3073.955921,5,4
"53",-3016.675176,3191.422789,4,4
"54",-3016.56107,3020.754709,13,4
"55",-3010.277574,3164.341178,6,4
"56",-3011.896696,3082.458122,5,4
"57",-3004.611572,3135.387739,5,4
"58",-2998.349842,3139.677925,5,4
"59",-2996.077776,3187.120454,5,4
"60",-2990.611663,3049.466895,5,4
"61",-2992.005727,3197.472061,10,4
"62",-2991.372021,3117.398303,8,4
"63",-2976.384428,3055.728948,3,4
"64",-2971.954101,3163.589689,6,4
"65",-2960.675485,3122.951742,4,4
"66",-2961.157655,3051.754983,2,4
"67",-2958.467377,3081.736708,2,4
"68",-2945.819221,3188.256626,11,4
"69",-2932.27725,3086.345908,11,4
"70",-2936.222958,3055.571338,5,4
"71",-2905.789137,3087.970708,5,4
"72",-2905.870777,3191.61596,5,4
"73",-2906.320331,3035.074224,5,4
"74",-2904.677092,3206.256229,6,4
"75",-2905.786205,3156.425549,5,4
"76",-2887.791265,3119.59291,6,4
"77",-2888.195678,3153.066564,10,4
"78",-2878.497048,3102.853956,4,4
"79",-2872.775855,3130.483244,3,4
