"","x","y","c","z"
"1",-3749.176078,-3749.458442,9,2
"2",-3746.22621,-3742.259347,4,2
"3",-3742.897643,-3790.648737,4,2
"4",-3738.423005,-3773.259265,4,2
"5",-3736.40762,-3895.590306,13,7
"6",-3725.210248,-3898.931369,13,7
"7",-3720.191136,-3785.296426,5,2
"8",-3717.144006,-3760.757175,4,2
"9",-3716.115098,-3805.047855,9,2
"10",-3715.05728,-3896.811185,13,7
"11",-3713.366675,-3847.230697,8,5
"12",-3712.215305,-3717.469078,9,2
"13",-3711.799143,-3903.965417,13,7
"14",-3705.89965,-3899.050255,13,7
"15",-3702.522707,-3904.721471,13,7
"16",-3701.031349,-3749.273361,9,2
"17",-3703.310485,-3866.680235,9,5
"18",-3693.834636,-3753.544428,9,2
"19",-3686.861426,-3868.363094,9,5
"20",-3681.886968,-3796.560642,4,2
"21",-3677.896932,-3900.573745,13,7
"22",-3679.811828,-3763.160389,3,2
"23",-3677.398794,-3869.162152,9,5
"24",-3670.779482,-3817.402626,9,2
"25",-3667.87118,-3874.241564,9,5
"26",-3664.769895,-3738.03905,4,2
"27",-3651.46952,-3870.897426,9,5
"28",-3646.877841,-3724.331608,4,2
"29",-3645.493121,-3868.332643,9,5
"30",-3646.789154,-3774.947785,8,2
"31",-3646.400152,-3759.488325,9,2
"32",-3634.578334,-3817.709332,9,2
"33",-3630.554396,-3720.642493,4,2
"34",-3623.800327,-3776.563602,4,2
"35",-3613.921894,-3862.437691,9,2
"36",-3609.424053,-3742.521483,5,2
"37",-3604.913868,-3727.917944,4,2
"38",-3602.690604,-3772.054668,4,2
"39",-3600.249404,-3789.181339,4,2
"40",-3599.20153,-3761.913671,9,2
"41",-3594.86432,-3834.667865,4,2
"42",-3589.12927,-3856.707569,4,2
"43",-3583.882401,-3817.35014,4,2
"44",-3584.248833,-3807.595108,8,2
"45",-3580.472058,-3850.885976,4,2
"46",-3578.616098,-3786.497364,4,2
"47",-3577.673492,-3735.668748,5,2
"48",-3578.349088,-3753.779418,4,2
"49",-3573.299944,-3872.830391,4,2
"50",-3567.244253,-3895.605984,9,2
"51",-3565.972526,-3717.916126,9,2
"52",-3563.997943,-3826.108826,2,2
"53",-3566.140615,-3801.3436,4,2
"54",-3741.931088,-3830.179569,9,2
"55",-3655.621884,-3874.877987,9,5
"56",-3647.281536,-3789.690968,4,2
"57",-3637.803914,-3735.743305,4,2
"58",-3616.921661,-3749.09486,4,2
"59",-3571.06742,-3841.590735,4,2
"60",-3750.349686,-3888.860397,13,7
"61",-3729.616592,-3864.763194,9,5
"62",-3722.657334,-3781.500929,5,2
"63",-3612.404425,-3778.444847,4,2
"64",-3659.193431,-3850.047337,2,5
"65",-3648.682348,-3717.118489,4,2
"66",-3622.867123,-3804.581936,4,2
"67",-3570.645976,-3742.960286,4,2
"68",-3735.388149,-3888.518667,13,7
"69",-3695.502249,-3867.643002,9,5
"70",-3593.980541,-3884.880012,9,2
"71",-3583.805783,-3771.677373,4,2
"72",-3585.982836,-3876.191596,4,2
"73",-3736.666752,-3593.052579,5,2
"74",-3734.556828,-3649.974451,4,2
"75",-3730.405144,-3631.316136,4,2
"76",-3729.411991,-3666.569732,4,2
"77",-3715.476438,-3536.021121,4,2
"78",-3708.946443,-3599.167488,4,2
"79",-3699.463891,-3675.720197,4,2
"80",-3689.130527,-3553.698604,9,2
"81",-3685.927407,-3602.577032,7,2
"82",-3674.489912,-3523.022189,4,2
"83",-3660.394604,-3530.168312,9,2
"84",-3658.226648,-3658.376328,4,2
"85",-3658.331528,-3679.854886,4,2
"86",-3659.154672,-3695.830686,4,2
"87",-3647.038271,-3561.987478,4,2
"88",-3643.259955,-3519.757328,3,2
"89",-3636.963109,-3627.838951,4,2
"90",-3635.802679,-3694.431642,5,2
"91",-3632.128578,-3652.62671,8,2
"92",-3629.994213,-3569.240588,4,2
"93",-3624.772304,-3671.136281,4,2
"94",-3616.921978,-3618.300878,8,2
"95",-3612.23088,-3557.737368,4,2
"96",-3605.899181,-3609.638435,9,2
"97",-3602.448126,-3677.809322,9,2
"98",-3591.563938,-3579.677275,9,2
"99",-3592.589876,-3671.089202,4,2
"100",-3587.493077,-3589.250821,9,2
"101",-3578.211502,-3659.373498,4,2
"102",-3560.329056,-3642.520511,9,2
"103",-3717.051308,-3686.552475,4,2
"104",-3716.926342,-3634.479201,9,2
"105",-3707.839564,-3560.858923,4,2
"106",-3696.652092,-3655.708128,4,2
"107",-3690.646433,-3525.535885,4,2
"108",-3681.931053,-3624.058022,4,2
"109",-3669.956466,-3677.919117,4,2
"110",-3660.951606,-3581.801343,4,2
"111",-3618.114079,-3549.314853,4,2
"112",-3582.44828,-3535.820558,4,2
"113",-3572.858999,-3615.715063,4,2
"114",-3563.852437,-3523.854164,5,2
"115",-3740.275836,-3597.798321,4,2
"116",-3727.480462,-3637.039856,4,2
"117",-3689.775748,-3613.940738,9,2
"118",-3625.10343,-3589.395292,4,2
"119",-3682.465793,-3577.216616,4,2
"120",-3597.747816,-3699.535522,4,2
"121",-3683.99275,-3635.914933,4,2
"122",-3628.235084,-3609.468317,4,2
"123",-3625.774566,-3619.275429,4,2
"124",-3610.651181,-3676.52504,4,2
"125",-3606.129535,-3598.500508,4,2
"126",-3567.56003,-3560.805608,4,2
"127",-3749.936046,-3475.840805,7,2
"128",-3740.80826,-3367.270535,4,2
"129",-3724.689023,-3377.336245,4,2
"130",-3725.615583,-3468.405271,4,2
"131",-3716.680832,-3433.500029,4,2
"132",-3708.880906,-3477.06647,4,2
"133",-3709.433049,-3496.154228,2,2
"134",-3705.583102,-3481.14878,4,2
"135",-3706.069992,-3461.367232,4,2
"136",-3701.255287,-3376.401318,4,2
"137",-3702.058033,-3341.504263,2,2
"138",-3699.526693,-3436.465816,4,2
"139",-3685.145552,-3374.603356,12,2
"140",-3679.418843,-3466.590055,4,2
"141",-3674.219407,-3411.098779,4,2
"142",-3673.046097,-3345.479732,5,2
"143",-3667.473317,-3337.280199,12,2
"144",-3653.029003,-3491.353031,4,2
"145",-3653.14311,-3431.500765,5,2
"146",-3650.943962,-3403.327708,3,2
"147",-3641.182287,-3360.93981,5,2
