Unnamed: 0,cell_class
1314x2162,Microglia
1322x2289,Astrocyte
1334x2116,Astrocyte
1340x2200,Astrocyte
1341x2251,Endothelial 1
1343x2208,Endothelial 1
1345x2177,Endothelial 1
1353x2119,Endothelial 2
1352x2218,Endothelial 3
1356x2125,Pericytes
1360x2220,Inhibitory
1362x2238,Astrocyte
1365x2290,Astrocyte
1365x2274,Astrocyte
1372x2131,Endothelial 2
1373x2216,Inhibitory
1379x2250,Microglia
1383x2224,Endothelial 2
1385x2138,Endothelial 2
1400x2232,Inhibitory
1407x2146,Astrocyte
1418x2148,Endothelial 2
1419x2241,OD Mature 1
1441x2239,OD Mature 1
1441x2192,Astrocyte
1460x2274,Inhibitory
1489x2274,Inhibitory
1392x2192,Inhibitory
1403x2262,Excitatory
1473x2163,Astrocyte
1475x2238,Pericytes
1484x2296,Excitatory
1314x2145,OD Immature 1
1324x2260,Inhibitory
1324x2191,Astrocyte
1325x2184,Astrocyte
1403x2206,OD Immature 1
1441x2220,OD Mature 1
1483x2234,Pericytes
1340x2114,Astrocyte
1396x2282,Astrocyte
1398x2142,Endothelial 2
1319x2156,Astrocyte
1325x2138,Astrocyte
1359x2128,Pericytes
1427x2162,Astrocyte
1484x2175,Endothelial 2
1491x2183,Astrocyte
1497x2286,OD Immature 1
1315x2346,Inhibitory
1329x2444,Excitatory
1333x2423,Endothelial 1
1342x2428,Inhibitory
1355x2315,Inhibitory
1359x2452,Excitatory
1360x2470,Astrocyte
1370x2481,Endothelial 1
1381x2432,Astrocyte
1386x2490,Endothelial 1
1391x2360,Astrocyte
1389x2431,Endothelial 1
1398x2461,Excitatory
1405x2397,Endothelial 1
1406x2450,Inhibitory
1407x2327,Excitatory
1408x2480,Astrocyte
1418x2405,Inhibitory
1416x2488,Endothelial 1
1423x2453,OD Mature 1
1422x2495,Excitatory
1433x2328,Inhibitory
1432x2414,Astrocyte
1440x2353,OD Immature 1
1441x2427,Endothelial 2
1448x2404,Microglia
1448x2416,Inhibitory
1456x2432,Inhibitory
1459x2422,OD Immature 1
1462x2361,Excitatory
1463x2334,Astrocyte
1468x2377,Inhibitory
1475x2402,Excitatory
1477x2459,Excitatory
1477x2321,Inhibitory
1486x2451,Astrocyte
1497x2425,OD Mature 2
1337x2399,Inhibitory
1342x2336,Inhibitory
1343x2376,Inhibitory
1381x2387,Astrocyte
1435x2361,Endothelial 1
1436x2481,Excitatory
1489x2334,Inhibitory
1318x2419,Astrocyte
1324x2353,Excitatory
1328x2369,Astrocyte
1360x2392,Excitatory
1359x2432,Inhibitory
1365x2332,OD Mature 2
1421x2326,Astrocyte
1439x2407,Microglia
1455x2459,Inhibitory
1385x2408,OD Mature 2
1439x2491,Astrocyte
1487x2437,Excitatory
1358x2368,Inhibitory
1402x2378,Excitatory
1411x2424,Inhibitory
1444x2385,Excitatory
1483x2479,Inhibitory
1489x2379,Inhibitory
1322x2620,OD Mature 4
1322x2649,Excitatory
1334x2634,Astrocyte
1337x2573,Excitatory
1341x2631,Astrocyte
1340x2663,Astrocyte
1345x2607,Endothelial 1
1355x2663,Inhibitory
1354x2579,Excitatory
1363x2690,Inhibitory
1363x2620,Astrocyte
1368x2544,Endothelial 1
1369x2558,Excitatory
1376x2544,Endothelial 1
1383x2695,Endothelial 1
1391x2678,Inhibitory
1397x2534,Microglia
1398x2690,Inhibitory
1404x2610,Excitatory
1418x2548,Excitatory
1420x2674,Endothelial 1
1426x2648,Inhibitory
1425x2585,Excitatory
1434x2568,OD Immature 1
1438x2618,Endothelial 3
1441x2680,Excitatory
1446x2564,Astrocyte
1447x2657,Inhibitory
1460x2646,Excitatory
1467x2693,Excitatory
1468x2550,Endothelial 1
1469x2671,Inhibitory
1476x2661,Excitatory
1480x2568,Endothelial 1
1484x2600,OD Immature 1
1492x2552,Inhibitory
1494x2679,Excitatory
1404x2599,Inhibitory
1425x2639,Excitatory
1430x2540,Excitatory
1449x2674,OD Mature 2
1457x2583,Inhibitory
1313x2693,Inhibitory
1361x2581,Astrocyte
1459x2692,Astrocyte
1322x2535,Excitatory
1372x2609,Inhibitory
1457x2519,Astrocyte
1490x2590,Inhibitory
1337x2550,Excitatory
1369x2585,Inhibitory
1370x2518,Excitatory
1374x2538,Astrocyte
1375x2633,Inhibitory
1453x2632,Inhibitory
1335x2530,Excitatory
1319x2808,OD Mature 1
1328x2857,Excitatory
1331x2747,OD Mature 2
1331x2876,Excitatory
1333x2890,Inhibitory
1334x2899,OD Mature 2
1339x2771,Inhibitory
1345x2832,Excitatory
1351x2888,Endothelial 1
1358x2830,Endothelial 1
1359x2820,Endothelial 1
1356x2761,Astrocyte
1361x2770,Astrocyte
1358x2787,Inhibitory
1359x2719,Microglia
1363x2729,Excitatory
1368x2803,OD Mature 2
1372x2792,OD Immature 1
1372x2886,Astrocyte
1387x2832,Excitatory
1404x2761,Inhibitory
1403x2800,Astrocyte
1417x2897,Excitatory
1420x2809,Inhibitory
1424x2830,Inhibitory
1426x2857,Endothelial 1
1429x2740,OD Mature 2
1432x2775,Inhibitory
1449x2768,Inhibitory
1447x2805,Excitatory
1459x2862,Inhibitory
1459x2897,OD Mature 2
1470x2893,Excitatory
1473x2737,Endothelial 3
1473x2778,Inhibitory
1471x2717,Inhibitory
1482x2851,OD Mature 2
1485x2830,Astrocyte
1486x2882,Astrocyte
1492x2894,Excitatory
1496x2727,Inhibitory
1496x2819,Excitatory
1319x2751,Endothelial 3
1339x2814,Astrocyte
1379x2870,Astrocyte
1408x2812,Astrocyte
1431x2878,Inhibitory
1452x2840,Inhibitory
1474x2873,Astrocyte
1311x2828,Endothelial 3
1332x2713,OD Mature 2
1341x2716,OD Mature 2
1386x2825,Inhibitory
1393x2884,OD Mature 2
1477x2805,Inhibitory
1461x2744,Inhibitory
1380x2809,Endothelial 3
1387x2725,Inhibitory
1406x2720,Inhibitory
1431x2733,Endothelial 3
1434x2895,OD Mature 2
1440x2862,Excitatory
1446x2781,Inhibitory
1318x3010,Inhibitory
1319x2969,Excitatory
1320x3035,Inhibitory
1325x3038,Inhibitory
1334x3086,Inhibitory
1344x2913,OD Immature 1
1350x3037,Inhibitory
1358x2950,Excitatory
1361x3052,Inhibitory
1365x3017,OD Immature 1
1377x2972,Inhibitory
1379x2934,Microglia
1382x3027,Inhibitory
1388x3078,Inhibitory
1389x3065,Excitatory
1401x2943,Astrocyte
1402x2978,Inhibitory
1404x3093,Inhibitory
1413x3071,Inhibitory
1416x3052,Excitatory
1417x3009,Excitatory
1423x2999,Pericytes
1433x3003,Endothelial 2
1439x3009,Astrocyte
1439x3061,Inhibitory
1439x2960,Astrocyte
1437x3092,Excitatory
1447x3001,Endothelial 3
1450x3087,Astrocyte
1453x2976,Inhibitory
1455x2943,Inhibitory
1459x3007,Endothelial 3
1457x3050,Astrocyte
1464x2972,Inhibitory
1465x2918,OD Mature 2
1463x3071,Excitatory
1464x3055,Astrocyte
1469x3024,Inhibitory
1471x3022,Inhibitory
1480x2951,Inhibitory
1479x3050,Excitatory
1486x3094,Excitatory
1489x2970,OD Immature 1
1326x2992,Excitatory
1341x3028,Endothelial 1
1386x2985,Inhibitory
1478x3005,Inhibitory
1495x3032,Excitatory
1342x2982,Inhibitory
1341x2946,OD Mature 1
1364x2966,OD Immature 1
1482x2937,Astrocyte
1323x3047,OD Mature 2
1358x3076,Inhibitory
1415x2972,Endothelial 3
1447x3026,Inhibitory
1316x2989,Endothelial 1
1327x2925,Inhibitory
