Unnamed: 0,cell_class
-2914x-601,Astrocyte
-2908x-509,Astrocyte
-2904x-495,Endothelial 1
-2902x-540,Endothelial 1
-2893x-483,OD Mature 2
-2892x-574,Inhibitory
-2893x-550,Astrocyte
-2881x-555,Endothelial 1
-2877x-637,Astrocyte
-2877x-520,OD Immature 1
-2874x-589,Endothelial 1
-2843x-613,Astrocyte
-2837x-524,Astrocyte
-2837x-557,Endothelial 1
-2823x-559,Endothelial 1
-2823x-479,Endothelial 1
-2819x-544,Excitatory
-2818x-533,Excitatory
-2817x-650,Astrocyte
-2814x-465,Astrocyte
-2797x-573,Excitatory
-2790x-615,Astrocyte
-2788x-581,OD Immature 1
-2786x-531,Endothelial 3
-2780x-561,Inhibitory
-2776x-507,Astrocyte
-2773x-605,Astrocyte
-2767x-472,Endothelial 1
-2750x-473,OD Immature 1
-2753x-536,Endothelial 1
-2751x-514,Endothelial 3
-2749x-585,OD Immature 1
-2749x-498,Excitatory
-2742x-598,Astrocyte
-2854x-609,Astrocyte
-2849x-479,Astrocyte
-2828x-581,Astrocyte
-2809x-502,Excitatory
-2787x-472,OD Mature 2
-2772x-528,Endothelial 1
-2908x-469,Microglia
-2808x-635,Astrocyte
-2824x-603,Microglia
-2822x-597,Inhibitory
-2925x-272,Excitatory
-2922x-439,Endothelial 1
-2918x-363,Endothelial 1
-2908x-350,Endothelial 1
-2909x-405,Endothelial 1
-2909x-338,Endothelial 1
-2902x-428,Astrocyte
-2902x-328,Endothelial 1
-2899x-286,Inhibitory
-2893x-271,Excitatory
-2891x-364,Excitatory
-2890x-304,Endothelial 1
-2884x-290,Endothelial 1
-2887x-403,Excitatory
-2880x-380,OD Mature 2
-2880x-359,Astrocyte
-2873x-289,Microglia
-2871x-443,Inhibitory
-2869x-371,Astrocyte
-2869x-297,Inhibitory
-2867x-416,Excitatory
-2854x-324,OD Immature 1
-2846x-294,Inhibitory
-2844x-410,OD Mature 2
-2840x-269,Astrocyte
-2840x-309,Microglia
-2827x-301,OD Mature 2
-2822x-282,Inhibitory
-2820x-309,Excitatory
-2823x-412,Astrocyte
-2819x-352,Inhibitory
-2807x-438,Endothelial 3
-2803x-334,Astrocyte
-2802x-321,Astrocyte
-2789x-358,Astrocyte
-2787x-393,Endothelial 3
-2776x-381,Inhibitory
-2776x-364,Astrocyte
-2767x-324,OD Immature 1
-2765x-273,Inhibitory
-2757x-392,Excitatory
-2753x-366,OD Mature 2
-2759x-433,Astrocyte
-2746x-327,Inhibitory
-2914x-398,OD Mature 2
-2909x-266,Excitatory
-2845x-320,Inhibitory
-2841x-423,Inhibitory
-2814x-293,Endothelial 1
-2808x-373,Inhibitory
-2802x-275,Astrocyte
-2775x-273,Inhibitory
-2910x-330,Endothelial 1
-2862x-351,Excitatory
