Unnamed: 0,cell_class
1148x-733,Microglia
1150x-713,OD Mature 1
1154x-761,Pericytes
1162x-823,Pericytes
1174x-690,Microglia
1179x-817,Pericytes
1183x-857,Pericytes
1187x-715,Inhibitory
1197x-860,Pericytes
1202x-752,Astrocyte
1208x-697,Endothelial 1
1207x-866,Endothelial 2
1213x-695,OD Immature 1
1216x-736,OD Immature 1
1218x-804,Pericytes
1228x-751,Astrocyte
1235x-785,Endothelial 2
1235x-796,Pericytes
1239x-752,Astrocyte
1243x-697,Astrocyte
1254x-818,Pericytes
1248x-711,OD Mature 2
1251x-808,Pericytes
1252x-802,Pericytes
1255x-746,Microglia
1258x-855,Pericytes
1259x-863,Endothelial 2
1262x-852,Pericytes
1259x-764,Astrocyte
1267x-688,Excitatory
1329x-728,Inhibitory
1329x-749,Astrocyte
1152x-851,Pericytes
1204x-687,Endothelial 1
1211x-800,Pericytes
1245x-843,Endothelial 2
1269x-855,Endothelial 2
1307x-715,Inhibitory
1167x-754,OD Immature 2
1171x-755,Endothelial 2
1154x-719,OD Immature 1
1287x-773,Astrocyte
1300x-775,Astrocyte
1164x-858,Pericytes
1171x-841,Endothelial 1
1169x-861,Pericytes
1185x-829,Pericytes
1240x-792,Pericytes
1244x-813,Pericytes
1256x-805,Pericytes
1271x-766,Astrocyte
1274x-733,OD Immature 1
1279x-767,Astrocyte
1294x-735,Endothelial 1
1298x-720,OD Mature 1
1173x-822,Pericytes
1166x-591,Microglia
1168x-515,Astrocyte
1173x-495,Inhibitory
1177x-589,Inhibitory
1180x-636,Inhibitory
1197x-492,Astrocyte
1203x-635,Astrocyte
1204x-651,Astrocyte
1206x-536,OD Mature 2
1210x-577,OD Mature 2
1210x-521,Excitatory
1212x-500,Inhibitory
1220x-556,Inhibitory
1219x-509,Astrocyte
1221x-483,Inhibitory
1229x-594,Excitatory
1234x-605,OD Mature 4
1236x-512,Inhibitory
1245x-630,Excitatory
1245x-521,Inhibitory
1249x-486,Inhibitory
1251x-576,Excitatory
1258x-586,Excitatory
1261x-663,Inhibitory
1269x-500,Excitatory
1280x-546,Astrocyte
1280x-536,Astrocyte
1283x-589,Excitatory
1284x-522,Endothelial 1
1288x-611,Inhibitory
1287x-572,Endothelial 1
1295x-660,Excitatory
1296x-533,Excitatory
1301x-489,Microglia
1309x-579,Endothelial 3
1308x-526,Inhibitory
1312x-626,Inhibitory
1311x-537,Excitatory
1313x-663,Excitatory
1314x-559,OD Mature 2
1322x-514,Excitatory
1332x-609,Excitatory
1335x-569,Excitatory
1164x-620,Inhibitory
1166x-554,Inhibitory
1211x-644,Endothelial 1
1228x-605,OD Mature 4
1274x-614,Microglia
1298x-631,Inhibitory
1313x-594,Inhibitory
1215x-536,Inhibitory
1233x-662,Endothelial 1
1241x-577,Inhibitory
1244x-644,Excitatory
1295x-485,Endothelial 1
1296x-620,Inhibitory
1332x-591,Inhibitory
1189x-648,Excitatory
1200x-511,Astrocyte
1226x-648,Excitatory
1247x-561,Excitatory
1269x-484,Inhibitory
1283x-641,Excitatory
1295x-593,Excitatory
1311x-503,Inhibitory
1149x-390,Inhibitory
1152x-297,Inhibitory
1168x-421,OD Mature 2
1183x-398,Excitatory
1187x-440,Excitatory
1192x-391,Inhibitory
1196x-389,Inhibitory
1205x-446,Inhibitory
1207x-376,Endothelial 1
1210x-408,Excitatory
1216x-317,Astrocyte
1226x-332,Inhibitory
1231x-360,Inhibitory
1233x-425,Inhibitory
1233x-446,Inhibitory
1243x-420,Excitatory
1249x-395,Astrocyte
1251x-281,Astrocyte
1260x-415,Inhibitory
1271x-454,Astrocyte
1273x-287,Inhibitory
1274x-306,Excitatory
1283x-375,Astrocyte
1287x-279,Astrocyte
1289x-441,Inhibitory
1291x-329,Inhibitory
1295x-314,Inhibitory
1301x-436,Astrocyte
1305x-452,Inhibitory
1307x-422,Inhibitory
1307x-394,Inhibitory
1307x-291,Excitatory
1314x-347,Inhibitory
1321x-466,Excitatory
1325x-414,Excitatory
1325x-323,Inhibitory
1171x-306,Astrocyte
1195x-345,Inhibitory
1200x-351,Inhibitory
1220x-348,Excitatory
1222x-355,OD Immature 1
1249x-306,Inhibitory
1318x-318,Microglia
1180x-350,Inhibitory
1212x-332,Excitatory
1258x-346,Inhibitory
1256x-340,Inhibitory
1289x-301,Excitatory
1314x-338,Inhibitory
1315x-380,Excitatory
1201x-305,Inhibitory
1240x-388,OD Mature 2
1284x-401,Inhibitory
1165x-404,Inhibitory
1198x-364,Excitatory
1223x-365,OD Immature 1
1240x-394,Astrocyte
1308x-359,Inhibitory
1157x-252,Inhibitory
1160x-80,OD Mature 2
1174x-112,Endothelial 2
1187x-99,Astrocyte
1188x-159,Inhibitory
1195x-209,Inhibitory
1200x-247,OD Immature 1
1204x-154,Endothelial 1
1211x-213,Astrocyte
1214x-176,Astrocyte
1216x-249,Astrocyte
1240x-90,Astrocyte
1241x-266,Excitatory
1257x-184,Inhibitory
1262x-169,Inhibitory
1268x-240,Microglia
1271x-104,Excitatory
1274x-126,Inhibitory
1279x-134,Inhibitory
1279x-87,Inhibitory
1282x-155,Endothelial 1
1281x-169,Excitatory
1288x-218,OD Immature 1
1293x-110,OD Mature 2
1292x-169,Endothelial 1
1306x-203,Excitatory
1302x-227,Inhibitory
1310x-173,OD Mature 2
1318x-112,OD Immature 1
1174x-252,Excitatory
1202x-148,Astrocyte
1220x-101,Endothelial 1
1319x-205,Excitatory
1321x-225,Inhibitory
1155x-156,OD Mature 2
1156x-182,Inhibitory
1178x-192,OD Immature 1
1193x-151,Astrocyte
1223x-118,OD Mature 1
1242x-219,Astrocyte
1247x-107,Inhibitory
1261x-265,Excitatory
1275x-255,Inhibitory
1291x-240,Excitatory
1164x-268,Inhibitory
1164x-217,Inhibitory
1183x-154,Inhibitory
1308x-149,Excitatory
1324x-159,Excitatory
1149x90,Excitatory
1156x-60,Inhibitory
1155x50,Inhibitory
1156x2,Inhibitory
1163x-12,Inhibitory
1170x64,Inhibitory
1173x-57,Inhibitory
1174x42,Inhibitory
1180x24,Inhibitory
1196x103,Inhibitory
1199x74,Inhibitory
1197x61,Excitatory
1199x52,OD Mature 2
